"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-09",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-10",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-11",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-12",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-13",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-14",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-15",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-16",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-17",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-18",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-19",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-20",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-21",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-22",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-23",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-24",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-25",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-26",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-27",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-28",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-29",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-09-30",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-01",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-02",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-09",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-10",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-11",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-12",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-13",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-14",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-15",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-16",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-17",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-18",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-19",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-20",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-21",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-22",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-10-23",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-01",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-02",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-03",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-04",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-05",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-06",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-07",,,
"US1DESS0045","DEWEY BEACH 0.2 S, DE US","2020-01-08",,,
